name,distance_ly,type,discovery_year
Proxima_Cen_d,4.242,exoplanet,2025
Proxima_Cen_b,4.242,exoplanet,2016
Barnard_c,5.955,exoplanet,2025
Barnard_b,5.955,exoplanet,2024
Barnard_d,5.955,exoplanet,2025
Barnard_e,5.955,exoplanet,2025
eps_Eri_b,10.44,exoplanet,2000
GJ_887_d,10.715,exoplanet,2026
GJ_887_e,10.715,exoplanet,2026
GJ_887_b,10.715,exoplanet,2020
GJ_887_c,10.715,exoplanet,2020
Ross_128_b,11.001,exoplanet,2017
Gl_725_A_b,11.48,exoplanet,2025
GJ_15_A_c,11.613,exoplanet,2018
GJ_15_A_b,11.613,exoplanet,2014
tau_Cet_h,11.746,exoplanet,2017
tau_Cet_f,11.746,exoplanet,2017
tau_Cet_g,11.746,exoplanet,2017
eps_Ind_A_b,11.862,exoplanet,2019
GJ_1061_c,11.973,exoplanet,2020
GJ_1061_d,11.973,exoplanet,2020
GJ_1061_b,11.973,exoplanet,2020
YZ_Cet_d,12.101,exoplanet,2017
YZ_Cet_c,12.101,exoplanet,2017
YZ_Cet_b,12.101,exoplanet,2017
Teegarden's_Star_b,12.488,exoplanet,2019
Teegarden's_Star_d,12.488,exoplanet,2024
Teegarden's_Star_c,12.488,exoplanet,2019
Kapteyn_c,12.822,exoplanet,2014
Wolf_1061_b,14.037,exoplanet,2015
Wolf_1061_d,14.037,exoplanet,2015
Wolf_1061_c,14.037,exoplanet,2015
GJ_9066_c,14.575,exoplanet,2020
GJ_674_b,14.83,exoplanet,2007
GJ_687_b,14.831,exoplanet,2014
GJ_687_c,14.831,exoplanet,2020
GJ_876_e,15.241,exoplanet,2010
GJ_876_b,15.241,exoplanet,1998
GJ_876_d,15.241,exoplanet,2005
GJ_876_c,15.241,exoplanet,2000
GJ_1002_b,15.807,exoplanet,2022
GJ_1002_c,15.807,exoplanet,2022
GJ_832_b,16.184,exoplanet,2008
GJ_682_c,16.322,exoplanet,2014
GJ_682_b,16.322,exoplanet,2014
GJ_3323_b,17.522,exoplanet,2017
GJ_3323_c,17.522,exoplanet,2017
GJ_251_c,18.193,exoplanet,2025
GJ_251_b,18.193,exoplanet,2020
GJ_411_b,18.503,exoplanet,2019
